csrell
matrix,sparskit,mkl,taco,taco (w/o extension),ours1,ours2
pdb1HYS,119.391 ,        ,74.806  ,        ,        ,        
jnlbrng1,0.895   ,        ,0.752   ,        ,        ,        
obstclae,0.882   ,        ,0.735   ,        ,        ,        
chem_master1,0.822   ,        ,0.742   ,        ,        ,        
rma10,82.751  ,        ,46.668  ,        ,        ,        
dixmaanl,1.324   ,        ,1.098   ,        ,        ,        
cant,96.525  ,        ,58.334  ,        ,        ,        
shyy161,1.62    ,        ,1.38    ,        ,        ,        
consph,149.782 ,        ,85.963  ,        ,        ,        
denormal,4.194   ,        ,4.256   ,        ,        ,        
Baumann,2.9     ,        ,2.601   ,        ,        ,        
cop20k_A,106.857 ,        ,38.012  ,        ,        ,        
shipsec1,251.927 ,        ,124.023 ,        ,        ,        
majorbasis,6.852   ,        ,6.387   ,        ,        ,        
scircuit,        ,        ,        ,        ,        ,        
mac_econ_fwd500,        ,        ,        ,        ,        ,        
pwtk,511.42  ,        ,134.385 ,        ,        ,        
Lin,8.939   ,        ,7.578   ,        ,        ,        
ecology1,44.783  ,        ,39.956  ,        ,        ,        
webbase_1M,        ,        ,        ,        ,        ,        
atmosmodd,96.449  ,        ,86.156  ,        ,        ,        
geomean,16.564  ,        ,11.518  ,        ,        ,        
